Country,CM Law,CM Practice,HR Law,HR Attitudes,HR Practice,Divorce Law,Inheritance Law
Australia,0.5,0.6,0.5,21.1,1.82,0,0
Austria,0.5,2.8,0.5,58.3,1.95,0,0
Belgium,0.5,2.2,0.5,32,1.55,0,0
Canada,0.75,1.7,0.5,27.7,1.51,0,0
Chile,0.5,5.9,0.75,36,2.24,0.25,0
Colombia,0.5,14.5,0,42.4,3.43,0,0
Costa Rica,0.5,8.4,0.5,..,2.53,0.5,0.5
Czech Republic,0.5,0.2,0.5,32.5,..,0.25,0
Denmark,0,0.1,0.5,22.1,1.39,0,0
Estonia,0.5,0.5,0.5,23.9,1.54,0,0
Finland,0.5,0.3,0.5,21.1,1.55,0,0
France,0.5,2.8,0.5,34.7,1.61,0,0.25
Germany,0.25,0.4,0.5,31.7,1.51,0,0
Greece,0.5,1.9,0.5,..,2.81,0.5,0.5
Hungary,0.5,0.7,0.5,50.9,1.86,0,0.5
Iceland,0.5,0.5,0.5,13,..,0,0
Ireland,0.5,0.3,0.5,26,2.29,0,0
Israel,0.5,2.5,0.5,47.6,..,0.75,0.25
Italy,0.5,0.2,0.5,..,2.82,0,0
Japan,0.5,0.6,0.25,15.3,4.76,0.25,0
Korea,0.5,0.2,0.5,55.2,4.43,0,0
Latvia,0.5,0.7,0.5,59.3,2.15,0,0
Lithuania,0.5,0,0.5,43.3,1.95,0.25,0
Luxembourg,0.5,1.1,0.5,..,1.98,0,0
Mexico,0.75,19,0.5,43.6,2.74,1,0.25
Netherlands,0.25,0.1,0.5,14.9,1.48,0.25,0
New Zealand,0.5,0.8,0.5,21.4,1.71,0,0
Norway,0.5,0.1,0.5,15.2,1.39,0.25,0
Poland,0.5,1.2,0.5,58.7,1.82,0,0
Portugal,0.5,0.7,0.5,57.3,3.92,0,0
Slovak Republic,0.75,1.1,0.5,33.4,..,0,0
Slovenia,0.5,0.2,0.5,27.2,1.78,0,0
Spain,0.5,4,0.5,27.4,2.2,0,0.25
Sweden,0,0.3,0.5,32,1.26,0,0
Switzerland,0,0.4,0,42.7,1.64,0,0
TŸrkiye,0.5,6.7,0.5,65.9,3.64,0.25,0.25
United Kingdom,0.5,3,0.5,30.6,1.83,0,0.25
United States,0.75,2.1,0.5,24.9,1.59,0,0
  Afghanistan,1,35,0.75,..,..,1,0.75
  Albania,0.5,7.2,0.5,..,6.26,0.25,0.25
  Algeria,0.5,3.1,0.75,75.1,5.89,1,1
  Angola,0.5,24.7,0.5,..,..,0.5,0.5
  Antigua and Barbuda,0.5,3.9,0.5,..,..,0,0
  Argentina,0.5,12.9,0.5,67.7,2.84,0,0
  Armenia,0.5,4.8,0.5,53.8,4.95,0.25,0.25
  Azerbaijan,0.5,9,0.5,49.7,2.86,0.25,0
  Bahamas,0.5,2.4,0.5,..,..,0,0
  Bahrain,1,5.5,1,..,..,1,1
  Bangladesh,0.5,45.2,0.75,..,3.77,1,1
  Barbados,0.5,0,0.5,..,..,0,0
  Belarus,0.5,8.4,0.75,31.8,1.93,0,0
  Belize,0.5,17.5,0.5,..,..,0,0
  Benin,0.5,16.6,0.5,..,3.09,0.25,0.5
  Bhutan,0.25,16.3,0.5,..,2.3,0.75,0
  Bolivia,0.5,12,0.5,..,..,0,0.25
  Bosnia and Herzegovina,0.5,0.7,0.5,..,..,0,0.25
  Botswana,0.5,7.1,0.5,..,..,0.5,0.25
  Brazil,0.75,15.4,0.5,60.4,4.27,0,0
  Brunei Darussalam,0.5,3.2,0.75,..,..,1,1
  Bulgaria,0.5,1.5,0.5,55.7,2,0.25,0
  Burkina Faso,1,32.4,0.5,..,6.65,0.25,0.25
  Burundi,0.5,9.9,0.75,..,..,0.25,..
  Cambodia,0.5,16.6,0.5,..,10,0.25,0.25
  Cameroon,1,22.3,0.75,..,2.87,0.25,0.25
  Cabo Verde,0.5,10.6,0.25,..,1.65,0.75,0
  Central African Republic,0.5,60.9,1,..,..,0.25,0.25
  Chad,0.5,40.5,0.75,..,..,0.5,0.5
  China (People's Republic of),0.25,3.2,0.5,42.4,2.57,0,0
  Comoros,0.5,19.6,1,..,..,0.75,1
  Congo,0.5,22.2,0.75,..,..,0.25,0.25
  Democratic Republic of the Congo,0.25,23.9,0.75,..,..,0.75,0.25
  C™te d'Ivoire,0.5,22.6,0.5,..,..,0,0.25
  Croatia,0.5,2,0.5,34.4,..,0,0
  Cuba,0.5,15.8,0.5,..,2.74,0.25,0
  Cyprus,0.5,3.2,0.75,37.9,..,0.5,0
  Djibouti,0.5,2.6,0.75,..,..,0.75,1
  Dominica,0.5,0.2,0.75,..,..,0,0.5
  Dominican Republic,0.5,27.4,0.5,..,..,0.25,0
  Ecuador,0.5,21.9,0.5,59.6,3.91,0.25,0.25
  Egypt,0.25,14.8,0.75,63.2,..,1,1
  El Salvador,0.25,21,0.5,..,2.16,0,0.25
  Equatorial Guinea,0.5,23.8,1,..,..,0.75,0.25
  Eritrea,0.5,31.1,0.5,..,..,0.25,0.5
  Ethiopia,0.5,22.5,0.5,..,2.33,0.25,0.25
  Fiji,0.25,8.5,0.5,..,..,0,0.25
  North Macedonia,0.5,4.3,0.5,..,3.01,0,0.25
  Gabon,1,15,0.75,..,..,0.25,0.25
  Gambia,0.5,25.5,1,..,..,1,1
  Georgia,0.5,14.4,0.5,65.1,..,0.25,0.25
  Ghana,0.5,8,0.5,33.1,3.24,0.75,0.75
  Grenada,0.5,0.6,0.75,..,..,0.75,0.25
  Guatemala,0.25,21.6,0.5,..,5.81,0,0.25
  Guinea,1,34.3,1,..,3.42,1,0.75
  Guinea-Bissau,0.5,11.8,0.75,..,..,0.5,0.75
  Guyana,0.5,0.7,0.5,..,..,0,0
  Haiti,1,6.7,0.5,33,..,0,0.25
  Honduras,0.5,27.3,0.5,..,3.1,0,0
"  Hong Kong, China",0.5,0.5,0.5,65.3,3.38,0,0
  India,0.5,21.5,0.5,75.9,9.67,0.5,0.5
  Indonesia,0.5,13.8,0.75,..,..,0.25,1
  Iran,0.75,21.4,1,..,3.91,1,1
  Iraq,0.5,20.3,1,69.5,5.78,1,1
  Jamaica,0.75,3.8,0.5,..,..,0.25,0
  Jordan,0.5,11.3,1,88.9,..,1,1
  Kazakhstan,0.5,6.5,0.5,37.6,2.19,0,0
  Kenya,0.25,13.2,0.5,..,2.23,0.5,0.75
  Kuwait,0.75,5.6,0.75,65.2,..,0.75,1
  Kosovo,0.5,4.4,0.5,..,..,0,0.25
  Kyrgyzstan,0.5,13.9,0.5,38.8,1.69,0,0.25
  Lao People's Democratic Republic,0.25,19.8,0.5,..,4.17,0.25,0.25
  Lebanon,0.75,3.4,1,69.3,..,1,0.75
  Lesotho,0.5,18.3,0.5,..,2.52,0.5,0.5
  Liberia,0.5,15.7,0.75,..,..,0.75,0.5
  Libya,0.5,0.9,0.75,64.5,..,0.25,0.25
  Madagascar,0.5,39.9,0.75,..,4.85,0.75,0.25
  Malawi,0.25,26.9,0.5,..,6.94,0.25,0.5
  Malaysia,1,6.1,1,20.9,3.2,1,0.5
  Maldives,0.5,5.4,0.75,..,..,1,1
  Mali,1,44,0.75,..,11.01,0.5,0.5
  Malta,0.75,0.5,0.25,..,2.45,0.25,0
  Mauritania,0.5,29.3,1,..,..,1,1
  Mauritius,0.5,7.3,0.5,..,3.79,0.75,0.5
  Moldova,0.5,11.5,0.5,..,1.78,0,0
  Mongolia,0.5,5.3,0.5,..,2.09,0.25,0
  Montenegro,0.5,2.4,0.5,..,..,0,0.25
  Morocco,0.5,11.3,0.75,63.4,6.97,0.75,1
  Mozambique,0.5,41,0.5,..,..,0,0.25
  Myanmar,0.5,12.9,0.5,..,..,0.75,0.25
  Namibia,0.5,5.9,0.5,..,..,0.25,0.25
  Nepal,0.5,24.5,0.25,..,3.13,1,0.25
  Nicaragua,0.5,30.4,0.5,..,2.95,0,0
  Niger,0.5,61.9,0.75,..,..,1,1
  Nigeria,0.5,30.4,0.5,41.2,1.51,0.5,0.75
  Palestinian Authority or West Bank and Gaza Strip,0.75,9.3,1,80.8,5.32,1,1
  Oman,0.5,4.2,1,..,2.38,1,1
  Pakistan,1,13.4,0.75,70,10.24,0.75,1
  Panama,0,3.9,0.5,..,2.46,0,0
  Papua New Guinea,1,13.2,0.5,..,..,0.5,0.5
  Paraguay,0.5,13.2,0.5,..,2.23,0.5,0.5
  Peru,0.5,12.9,0.5,36.3,2.6,0.75,0.25
  Philippines,0.5,4.8,0.75,44.4,2.69,1,0.5
  Qatar,1,3.6,1,78.9,1.81,1,1
  Romania,0.5,6.8,0.5,33.5,2.11,0.25,0
  Russia,0.5,7.9,0.5,38.8,..,0,0
  Rwanda,0.25,4,0.25,39.8,2.63,0.75,0.25
  Samoa,1,7.6,0.5,..,..,0.25,0.25
  Sao Tome and Principe,0.5,18.7,0.25,..,..,0,0
  Saudi Arabia,0.75,5.8,1,..,..,1,1
  Senegal,1,25,1,..,..,0.25,0.5
  Serbia,0.5,3.5,0.5,..,2.03,0.25,0.25
  Seychelles,1,6.6,0.75,..,..,0,0
  Sierra Leone,0.5,19,0.5,..,2.99,0.75,0.5
  Singapore,0.5,0.4,0.5,43.1,..,0,0.25
  Solomon Islands,0.75,10.2,0.5,..,..,0.75,0.25
  Somalia,0.5,28,1,..,..,1,0.5
  South Africa,0.5,6.3,0.5,53.8,2.36,0.25,0.25
  Sri Lanka,0.5,10.6,0.5,..,..,0.75,1
  Sudan,0.75,21.2,1,..,..,1,1
  South Sudan,0.75,40.1,0.75,..,..,0.75,0.25
  Eswatini,0.5,4,0.5,..,..,0.75,0.75
  Syrian Arab Republic,1,9.8,0.75,..,..,1,1
  Chinese Taipei,1,2.3,0.5,16.7,2.56,0,0.25
  Tajikistan,0.5,14.3,0.5,..,..,0.75,0.25
  Tanzania,1,25.3,0.75,..,3.72,0.75,1
  Thailand,0.75,17.1,0.5,72.7,3.52,0.25,0
