Country,Access_to_land Law,Access_to_land Practice,non_land_assets Law,non_land_assets Practice,access_to_formal Law,access_to_formal Practice,workplace_rights Law,workplace_rights Attitudes,workplace_rights Practice
Australia,0,..,0,..,0,50,0.25,1,36.6
Austria,0,34.5,0,..,0,51.1,0,5,31.8
Belgium,0,15.1,0,..,0,50.8,0,2,33.6
Canada,0.5,27.4,0,..,0,50.4,0,0,35.5
Chile,0.75,29.9,1,..,0,48.2,1,6,26.5
Colombia,0,..,0,6.7,0,46.7,1,5,53.4
Costa Rica,0,..,0,..,0.75,44.6,1,5,41.3
Czech Republic,0,15.1,0,..,0.25,47.8,0.25,7,24.6
Denmark,0,8.9,0,..,0,50.3,0,1,27
Estonia,0,35.8,0,..,0,53.4,0.25,2,38.5
Finland,0,11.1,0,..,0,50.6,0,1,31.3
France,0,22.7,0,..,0,49.3,0,3,33.4
Germany,0,8.4,0,..,0,50.8,0.75,4,29.2
Greece,0.5,27.7,0.5,..,0,50.2,0.25,7,29.8
Hungary,0.25,26.3,0.25,..,0,50.4,0.75,10,39.4
Iceland,0,15.4,0,..,0,..,0.25,0,32.4
Ireland,0,11.5,0,..,0,50.4,1,3,35.9
Israel,0.25,..,0.25,..,0,50.8,1,12,34.1
Italy,0,30.7,0,..,0.25,50.1,0,1,27.5
Japan,0.25,..,0,..,0.25,51.1,1,4,13
Korea,0.25,..,0.25,..,0,49.9,1,6,10.5
Latvia,0,46.8,0,..,0.25,53.7,0,6,46.3
Lithuania,0,47.7,0,..,0,52.7,0.25,4,39.3
Luxembourg,0,15.9,0,..,0,49.4,0,3,18.8
Mexico,0.25,15.7,0.25,..,0,46.1,0,15,36.7
Netherlands,0,6.1,0,..,0,50.3,0,2,26.6
New Zealand,0,..,0,..,0,50.9,0.25,2,40
Norway,0,14.1,0,..,0,49.7,0,0,38.3
Poland,0,29.7,0,..,0,52.5,1,7,41.3
Portugal,0,29.3,0,..,0,51.7,0,2,34.3
Slovak Republic,0,19.3,0,..,0,50.7,0.25,22,32.8
Slovenia,0.25,27.3,0,..,0,50,0,8,41.2
Spain,0.25,21.7,0,..,0,49.8,0,0,30.6
Sweden,0,15.4,0,..,0,50.1,0,1,38.9
Switzerland,0,6.5,0,..,0,50.7,0.75,2,33.9
TŸrkiye,0.25,..,0.25,..,0.25,40,1,11,15
United Kingdom,0.25,13.1,0,..,0,50.5,0,2,36.2
United States,0,13.7,0,..,0,50.3,0.75,1,40.5
  Afghanistan,0.25,..,0.25,16.7,0.25,21.8,1,46,7
  Albania,0.25,..,0,..,0.25,47,1,4,31.9
  Algeria,0.25,4.1,0.25,..,0.25,33.8,1,38,9.9
  Angola,0.5,..,0.5,..,0.25,39.2,1,..,31.9
  Antigua and Barbuda,0.25,..,0.75,..,0.25,..,0,..,..
  Argentina,0.25,16.2,0,..,0,53.5,1,6,30.9
  Armenia,0.25,29.7,0,4.5,0.25,45.9,0.75,12,29.5
  Azerbaijan,0,..,0,..,0.25,48.7,1,22,34.9
  Bahamas,0,..,0,..,0,..,0.75,..,51.6
  Bahrain,0.25,..,0.25,..,0.25,34.2,1,17,..
  Bangladesh,0.5,4.6,0.5,..,0.25,38.4,1,46,10.7
  Barbados,0,..,0,..,0.25,..,1,..,48.6
  Belarus,0,..,0,..,0,53.6,1,9,46
  Belize,0,8.2,0,..,0,54.4,1,..,25.2
  Benin,0.25,..,0.25,5.8,0.25,35.9,1,13,22
  Bhutan,0.25,..,0,..,0,38.5,1,..,18.5
  Bolivia,0.25,..,0.25,..,0,50.1,1,10,38.9
  Bosnia and Herzegovina,0.25,..,0.25,..,0,47.3,1,4,22
  Botswana,0.5,34.7,0.5,..,0.25,46,0.75,6,38.6
  Brazil,0.25,12.7,0.25,..,0,49,0.25,5,39.9
  Brunei Darussalam,0,..,0,..,0,..,0.75,..,33.6
  Bulgaria,0.25,22.8,0.25,..,0.25,52.4,1,6,39.2
  Burkina Faso,0.25,8.4,0.25,5.2,0.25,43.5,1,14,31
  Burundi,0.25,..,0.25,4.5,0.25,48,1,..,27.4
  Cambodia,0.25,..,0.25,7.9,0.25,49.5,0.75,10,31.8
  Cameroon,1,..,1,15.5,0.25,42.1,1,14,10
  Cabo Verde,0,50.5,0,..,0.25,..,0.25,..,..
  Central African Republic,0.25,..,0.25,..,0,35.6,1,6,14
  Chad,0.5,..,0.5,8.2,1,29,1,16,12
  China (People's Republic of),0,..,0,..,0,46.1,1,15,..
  Comoros,0.5,32.6,0.5,42,0.25,..,0.75,..,..
  Congo,1,..,1,7.3,0.25,41.1,1,6,..
  Democratic Republic of the Congo,0.5,8.9,0.5,6.4,0.25,48.1,1,16,20.2
  C™te d'Ivoire,1,10,1,7,0.25,35.2,1,12,27
  Croatia,0.25,22,0.25,..,0,47.9,1,4,29.1
  Cuba,0.25,..,0,..,0,..,0,..,38.1
  Cyprus,0,20.6,0,..,0,51.6,1,4,20.8
  Djibouti,0.25,..,0.25,..,0.25,..,1,..,..
  Dominica,0.25,..,0.75,..,0.25,..,1,..,..
